College / Folder,File,Prompt,Response,Topic Cluster
Caltech,Stem Future,"Why did you choose your proposed area of interest? If you selected ‘other’, what topics are you interested in pursuing?* 200","My journey with interdisciplinary research first started during early mornings, coding algorithms that learnt about properties of cancer drugs repurposed for Alzheimer’s, while I learnt about activation and loss functions. My next model generated drugs that helped with Alzheimer’s. At RISE, I learnt to model neuron interactions through circuit schematics. Eventually, I derived an index that predicted Parkinson’s likelihood.
At the same time, my hands itched to do something more than type, so I co-developed a physical device that reduced toxic waste from power plants. I connected tubes, attached arduino boards and calibrated pH sensors. After ordering parts, testing chemistry in our classroom, and building through the night, we had an initial testable prototype.
At Caltech, I hope to work in the Andersen Neuroscience Lab, using neural decoding techniques to study how neuron clusters represent movement, while exploring cortical adaptation through Caltech’s neuroengineering seminars. In CS/EE/BE 189, I’d apply machine learning to biological datasets, and in BE 150, I’d build a foundation in cellular and molecular systems relevant to neural repair.
Bioengineering allows me to disrupt different industries while doing what I love - biology and building - and there’s no place I’d rather study it at than Caltech.",Neuroscience and Artificial Intelligence Integration
Caltech,STEM Past,"Tell us how you initially found your interest and passion for science or for a particular STEM topic, and how you have pursued or developed your interest or passion over the last few years.","My interest in neuroscience began in 10th grade with my newly created blog - Behind The Brain (BTB). I began writing several posts on complex neuroscience topics and current research while simultaneously improving BTB’s SEO. Researching a post for BTB led me to discover drug discovery problems related to increasing timeframe/cost, and a potential solution: ML models.  

After immersing myself in Medium posts on activation functions, and SVMs, I coded a local model on my 10 year old Macbook that predicted whether cancer drugs could be repurposed for Alzheimer’s treatment. The following year (11th), with a better computer, and an extra year of studying neural networks through DeepFindr videos and William Hamilton’s book, “Graph Representation Learning,” I created a new model, ABIGAIL: Amyloid-Beta Inhibition via Graph AI Learning, a graph neural network that generated novel drugs for Alzheimer’s.  

This past summer, I interned at ThinkNeuro, using R programming to study neuronal resilience, and at BU RISE, where I derived a Parkinson’s prediction index, and learnt to model neurons clusters in Python. We have modeled computers after the brain, and used computers to model the brain. The two fields are so intertwined and I love testing how we can use both of them to advance both neuroscience and computer science.",Neuroscience and Artificial Intelligence Integration
Caltech,Teaching Class,"Teach: If you could teach a class on any topic or concept, what would it be and why?","CHE-55: Middlegame Masterclass

Course Description: Life is quite similar to a chess match. The opening is filled with rules we have to follow. The strategy for the endgame is based on our past moves. But the best path to take through the middlegame isn’t quite clear. In this course, we will learn various techniques on identifying and correcting weaknesses in our position, securing our king, and most importantly, coming up with the best game plan possible. Remember, as is life, so is a chess match: not its start or end, but rather its messy middle, gives it meaning.",Passion for Teaching Chess
Caltech,STEM Present Rabbit Hole,"Regardless of your STEM interest listed above, take this opportunity to nerd out and talk to us about whatever STEM rabbit hole you have found yourself falling into. Be as specific or broad as you would like. (Min:50/Max:150 words)","Used in radios, data compression, and signal processing, the Fourier Transform reveals the frequency components of input signals. I discovered it while researching my deepest fear: Alzheimer's dementia. Dementia is terrifying. Forgetting my family, losing muscle memory, and forgetting my past feels like losing myself. Luckily, evolution protected us by wrapping up our memories in Fourier waves. Each memory is encoded by waves of neural activity; only by adding these waves up through a reverse Fourier Transform do we see the full memory! Hence, when neurons that make up individual waves die out, the entire memory isn’t wiped away. Each month, I get an update from Google Scholar on Alzheimer’s, and feel excited when I see ‘Fourier Transform’ as a keyword. Reading such papers, I’ve decided to join the diverse community of physicists, mathematicians, biologists, and programmers trying to protect the Fourier waves of memory in all of our heads.",Neuroscience and Artificial Intelligence Integration
Caltech,Creativity In Action,"I apologize, but I would need the text of the college essay to provide an appropriate one-sentence description of the likely prompt. Could you please share more about the essay?",,Embracing Curiosity and Creativity
Caltech,Caltech Brainstorm,"Why did you choose your proposed area of interest? If you selected ‘other’, what topics are you interested in pursuing?","Bioengineering, minor neurobiology",Neuroscience and Artificial Intelligence Integration
MIT,Biomedical Engineering,Tell us more about why this field of study at MIT appeals to you.,"My research journey began by coding algorithms that learned cancer drug properties repurposed for Alzheimer’s. As I built another model to generate Alzheimer’s drugs, I analyzed biochemistry in code. At RISE, I modeled neuron interactions using circuits. Eventually, I derived an index that predicted Parkinson’s likelihood. My hands itched to do more than type, so I co-developed a physical device reducing toxic waste from power plants, connecting tubes, calibrating pH sensors, and building a working prototype. Majoring in biomedical engineering at MIT lets me combine computational neuroscience with hands-on design, perhaps prototyping nano drug-delivery systems that permeate the blood-brain-barrier.",Neuroscience and Artificial Intelligence Integration
MIT,Challenge,How did you manage a situation or challenge that you didn’t expect? What did you learn from it?,"Practice makes perfect, especially for rocketry. On the day of our official launch, remembering this aphorism, I decided to take a practice run first. The test went perfectly, but as we set up for the real flight, raindrops began to fall. With a storm looming and our deadline days away, I urged our team to move fast. Betelgeuse lifted off smoothly and reached its apogee right on schedule - but rather than unfurling its parachute, it began to plummet and crumpled into the earth. In our hurry, we'd forgotten to untangle the parachute wires.
The next day, I led a team meeting, delegating roles for different rocket components. In two days, using spare parts, we assembled Betelgeuse 2.0 and raced to the launch site within four hours of the deadline. Remembering how the earlier crash was caused by a practice run that wasted time, I decided to skip the practice run. We launched successfully, but missed the cutoff by 0.5 points.
From this, I’ve learnt to balance precision with practicality. Whether I’m coding an AI model or writing a blog post, I ask myself: is one more iteration actually leading to progress? And if not, I remember my crumpled rocket, and decide that it’s time to take a leap of faith.",Personal Growth Through Relationships
MIT,Contribution to Community,"MIT brings people with diverse backgrounds together to collaborate, from tackling the world's biggest challenges to lending a helping hand. Describe one way you have collaborated with others to learn from them, with them, or contribute to your community together.* 225 words or fewer","It takes a village to teach chess. After school, I race through traffic, barely arriving on time to the Chess4Life Issaquah center: 3:58 PM. Stanley, my manager, hands me the stack of worksheets I asked him to print out. My first lesson is on ‘forks’. I teach the basics before puzzles, counting to ten before letting anyone raise their hand, giving slower students time to think without pressure. While they do worksheets, I notice a peculiar silence from Kyden's classroom. Between lessons, Kyden mentions he borrowed my counting trick. ""Ah! Explains the strange silence,” I joke. We end up discussing AI (he trains models part-time) debating whether pattern recognition or positional understanding is more important for training chess-playing models. Stanley overhears and joins in. ""Definitely positional. In fact, we should start adding position concepts to lessons."" My second lesson is on pins, a tactic. Kyden suggests his ""freeze chess"" game to incorporate positional theory: a game where students can ‘immobilize/freeze’ an opponent piece for one turn, thus teaching them the positional importance of a pin. It works. ""Nice positional touch,"" Stanley says while stopping by to hand me some worksheets. As I leave, I agree to sub for Samuel tomorrow. Driving home, I realize what makes Chess4Life work: we're all pieces on the same chessboard, helping each other teach chess.",Passion for Teaching Chess
MIT,public unepected,In what ways have you done something different than what was expected in your educational journey?,"March 2020. The pandemic has just begun and I can only play so much table tennis. I open up Khan Academy upon my mum’s imploration to study Geometry, but to spite her, I begin “AP Physics 1”. Over the next two weeks, whatever little physics I learn from Khan Academy, I apply to my ping-pong trickshots: I learn to play dropshots by absorbing the ball’s energy and to my and my brother’s awe, I curve the ball sideways in the air by using the Magnus effect and Bernoulli’s Principle.

December 2022. I’ve lost most of my chess students, despite my low hourly rate ($15), so during winter break, I decide to go through “Microeconomics”, a subject I know nothing about. Importantly, I learn about luxury goods - goods that have an increasing demand with increasing price. Over the next 3 months, I price my lessons higher ($35-40/hr) and surprisingly, more students reach out asking for lessons.

“Pixar in a Box” taught me storytelling concepts I’m using in my time-travel based novel; “Organic Chemistry” planted the seeds for NNANO, my device that manages toxic powerplant pollution; “Khan Academy + PERT’s Growth Mindset” helped me captain my rocketry team through two crashes. Clicking on eclectic [a]Khan Academy courses has taught me not just information, but also the ability to adapt what I’ve learnt to fit different situations.",Passion for Teaching Chess
MIT,Hobby,"We know you lead a busy life, full of activities, many of which are required of you. Tell us about something you do simply for the pleasure of it.*","""Behind the back - let's go!"" my brother calls out, serving low and fast. I spin around, paddle behind my back, and swing blind. The ball rockets past his ear into the wall, as we both laugh at my flailing attempt.

Table tennis has always been the glue between us. In my 7th grade, we cut out cardboard rackets and a net to play on our dining table, adding dried-out cellotape as a makeshift rubber to create spin. As I started high school, we got a proper table, rackets, and balls, and we quickly became obsessed. We began watching Pongfinity, trying to recreate their trickshots: behind the back, no look, around the net. But I don’t play with the correct technique, and I go for shots that I have no place trying, because I don’t play table tennis to win. I play to have fun with my brother, to talk with my brother, and to occasionally hit that trickshot.

The orange ball whizzes off the blue table, past my outstretched arm. I pick up the ball and continue to rally and talk with my brother. Table tennis has always been the glue between us. In my 7th grade, we cut out cardboard rackets and a net to play on our dining table, adding dried-out cellotape as a makeshift rubber to create spin. My freshman year, we got a proper table, rackets, and balls, and quickly became obsessed. We began watching Pongfinity, trying to recreate their trickshots: behind the back, no look, around the net. But I don’t play with the correct technique, and I go for shots that I have no place trying, because I don’t play table tennis to win. I play to laugh with my brother, to relax with my brother, and to occasionally hit that trickshot - and scream my head off in excitement with my brother.",Personal Growth Through Relationships
MIT,Unexpected Education Thing,In what ways have you done something different than what was expected in your educational journey?,"March 2020. The pandemic has just begun and I can only play so much table tennis with my makeshift rackets. I open up Khan Academy upon my mum’s imploration, but to spite her, and to aim for the stars, I begin “AP Physics 1”. Over the next two weeks, whatever little physics I learn from Khan Academy, I apply to my ping-pong trickshots. I learn to play dropshots by absorbing the ball’s energy. And to my and my brother’s awe, I curve the ball sideways in the air by using the Magnus effect and Bernoulli’s Principle.

December 2022. I’ve lost most of my chess students, despite my low hourly rate ($15), so with my extra free time, I decide to go through “Microeconomics”, a subject I know nothing about. Importantly, I learn about luxury goods - goods that have an increasing demand with increasing price. Over the next 3 months, I price my lessons higher ($35-40/hr) and surprisingly, more students reach out asking for lessons.

“Pixar in a Box” taught me storytelling concepts I’m using in my time-travel based novel; “Organic Chemistry” planted the seeds for NNANO, my device that manages toxic powerplant pollution; “PERT’s Growth Mindset” helped me captain my rocketry team through two crashes. Clicking on strange Khan Academy courses has taught me not just information, but also the ability to adapt what I’ve learnt to fit different situations.

December 2024. I open up Khan Academy, clicking on “Organic Chemistry”, a unit that was skipped in my AP Chemistry class. Learning about using different redox reactions bacteria use to deal with toxic nitric oxide, I lead my friends in designing NNANO, a device that simplifies that process to deal with toxic nitric power plant pollution.

Through “Pixar in a Box” I learnt storytelling concepts for my time-travel based novel. After “Microeconomics” I tried increasing my hourly rate for chess classes, and ended up with more students. “PERT’s Growth Mindset” helped me captain my rocketry team through two crashes. Clicking on strange Khan Academy courses has taught me not just information, but also the ability to adapt what I’ve learnt to fit different situations.",Passion for Teaching Chess
Princeton,Princeton Telugu Community + Conversations + Lessons,"Princeton values community and encourages students, faculty, staff and leadership to engage in respectful conversations that can expand their perspectives and challenge their ideas and beliefs. As a prospective member of this community, reflect on how your lived experiences will impact the conversations you will have in the classroom, the dining hall or other campus spaces. What lessons have you learned in life thus far? What will your classmates learn from you? In short, how has your lived experience shaped you? (500 words or fewer)*","Growing up Telugu, my family and I have watched countless Telugu films, and I’ve noticed some common motifs. They always follow a Hero’s Journey storyline, with a hit soundtrack helping the hero face his final challenge in the ‘Resurrection’ phase of the 3rd Act. I’ve learnt to use these soundtracks in my own life, playing them when I’m stuck with a writing block, or a tricky coding bug. Telugu movies also always feature a community of friends, sticking with the hero through fights (and dance scenes). Over the last four years, I’ve found my own community, a community not of aunties and uncles dancing to older songs, but of kids my age: Aryan, who sent me Telugu reels and memes; Vedant, who made incredible dosas; and Rahoul, who joined in with my Telugu humming. While studying for APs, Aryan’s Telugu jokes kept our spirits up. While building NNANO, Vedant cooked dosas while I made the chutney, and we all enjoyed a much-needed break. While going on runs, Rahoul and I shared our Telugu song playlists with each other. Despite all these moments of connection, some of the most interesting moments came through confusion: Aryan sending a reel with a Telugu reference I didn’t understand, Vedant not recognizing the chutney I made, and Rahoul and I realizing we listen to Telugu music from different decades. These feelings of disconnection, despite our Telugu connection, showed me how truly different we all are. If my Telugu friends, who speak my language, watch the same movies and eat the same food, still have completely different reference points, then how much more do people from entirely different backgrounds? As I started building friendships beyond my Telugu circle - Anuraag from Tamilnadu, who taught me to make vethe kozhumbu and Rain Jia, who taught me a tennis kick serve and how to make dumplings while I taught him how to make methi chapathi - I learnt to look for points of commonalities other than just culture. At Princeton, I’ll look for points of connection in each conversation, whether someone is also interested in NeuroAI research or obsessed with Federer. At the same time, I’ll deep dive into our differences, not just asking about their family traditions I’m not familiar with, but also those traditions’ origins, and how those traditions have impacted them. I'd also love to share what being Telugu has taught me. I’ll play my Telugu soundtracks during late-night study sessions, regaling my peers with the whole backstory to that soundtrack. And I hope as an upperclassman, I can cook in a communal kitchen dorm, teaching my family’s methi chapathi and Anuraag’s vethe kozhumba recipes. Growing up Telugu in America has taught me to approach every person knowing they're carrying their own complete perspective and background. At Princeton, I’ll share my own soundtrack - including its backstory - while learning to hum along to everyone else’s.",Cultural Identity and Personal Growth
Princeton,soundtrack,The prompt likely asked for the student to discuss a song or songs that have inspired or motivated them and explain how the lyrics have influenced their aspirations or perseverance.,"I love “I Wonder” by Kanye West. It has the perfect balance between melody and rap. But my favorite part is the lyrics. These lyrics amplify my drive; whenever I feel like giving up, they remind me just how deeply I want to “find my dreams come true.”

I love “All the Stars” by Kendrick Lamar and SZA. It has the perfect balance between melody and rap. But my favorite part is the lyrics. These lyrics amplify my drive; whenever I feel like giving up, I remember that with effort, “all the stars approach us.”",Personal Growth Through Relationships
Princeton,Why Princeton Engineering?,"Please describe why you are interested in studying engineering at Princeton. Include any of your experiences in, or exposure to engineering, and how you think the programs offered at the University suit your particular interests. (Please respond in 250 words or fewer)*","Engineering without practical application is futile. Engineering without creativity is boring. I've always tried to balance both - a balance that Princeton Engineering embodies through its focus on ‘engineering in the service of humanity’, a focus I take with my current research. When building ABIGAIL, I loved modeling three dimensions rather than the usual two, just one of the many ways I was creative with ABIGAIL's code. But what made ABIGAIL worthy was its impact on Alzheimer's research. Princeton's Neuroscience Institute (PNI), with its truly unique interdisciplinary approach, shares this same creative practicality, modelling neural circuits to understand everything from decision-making to memory formation. I am especially interested in PNI’s NeuroAI division, where I hope to learn how biologically inspired architectures can reshape how artificial systems process and store information, hypothetically reducing AI’s energy usage and pollution. I'd also join Princeton's student-led engineering teams, channeling my rocketry spirit by joining Princeton Rocketry. I’d also join iGEM, working collaboratively with others interested in using synthetic biology to help cure diseases, learning undergraduate conference presentation techniques from the most experienced Princeton upperclassmen. Independently, I’d utilize the Micro/Nano Fabrication Center (MNFC) to develop new drug-delivery systems using magnetic nanotechnology and build physical neural sensors. Princeton offers opportunities at the intersection between innovation and practicality, and I know Princeton Engineering will help me balance my curiosity and creativity with purposefulness, developing technologies and tools that will meaningfully advance medicine.",Neuroscience and Artificial Intelligence Integration
Princeton,Service and Civic Engagement,Princeton has a longstanding commitment to understanding our responsibility to society through service and civic engagement. How does your own story intersect with these ideals? (250 words or fewer)*,"In the summer of 2024, I boarded the lone corner seat on a mobile hospital van in Puttaparthi, Andhra Pradesh, India. For the next two weeks, I volunteered in a different village. Each day, I set up makeshift clinics in schoolyards with other volunteers. I took vitals, measured blood sugar levels, packed medication bags, and guided patients from station to station. But my biggest impacts were through my Telugu translations. These, although far from perfect, helped when elders couldn't understand the formal Puttaparthi dialect or when patients were confused by English medical terms. But even as an unofficial ‘translator’, there were times I struggled. While I squinted to read doctors' scribbled notes, I saw villagers confused by the Puttaparthi dialect. On Day 6, I heard an old man tell his daughter, ""I don't understand when to take these medicines; the doctors don't make sense."" In him, I saw myself during my first days in India, unable to understand the dialect and scared to ask. Back in Seattle, I designed a sticker system for dosage instructions: a sun and food sticker meant ""after breakfast,"" while a moon and water droplet meant ""before bed with water."" I emailed prototypes to Director Narasimhan and gathered feedback from volunteer pharmacists. Dr. Narasimhan remains hesitant, but I keep trying. As a translator, I helped hundreds. With these stickers, I could help thousands, leaving a lasting imprint that outlasts my volunteering hours.",Healthcare and Community Service
Princeton,New Skill,What is a new skill you would like to learn in college?*,"2009 US Open, Federer chases down the ball, hits a shot in between his legs - the tweener - for a winner against Djokovic. So far, I’ve learnt to hit a tweener in other sports: table tennis, badminton, and pickleball. At Princeton, I hope to add the tweener to my tennis repertoire.",Passion for Teaching Chess
Princeton,Joy - Princeton,What brings you joy?,"""Why that move?"" I ask constantly while teaching chess. I'd rather a student blunder with intent than play a memorized line blindly. Teaching chess means that I make students question and analyze every move. Guiding their mental shift from copying moves to thinking for themselves is what brings me joy.",Passion for Teaching Chess
Brown,Identity - 250,"Share how an aspect of your growing up has inspired or challenged you, and what unique contributions this might allow you to make to the Brown community.","Growing up Telugu, my family and I have watched countless Telugu films, and I’ve noticed some common motifs. They always follow a Hero’s Journey storyline, with a hit soundtrack helping the hero face his final challenge in the ‘Resurrection’ phase of the 3rd Act. I’ve learnt to use these soundtracks in my own life, playing them when I’m stuck with a writing block, or a tricky coding bug. Telugu movies also always feature a community of friends, sticking with the hero through fights (and dance scenes). Over the last four years, I’ve found my own community, a community not of aunties and uncles dancing to older songs, but of kids my age: Abhinav the jokester, Amogh the chef, and Rahoul the runner. While studying for APs, Abhinav’s jokes kept our attitude positive. During our end-of-year sleepover, Amogh cooked dosas while I made the chutney, and our group talked about our goals. While resting between 100-meter sprints, Rahoul and I bonded over our fear of failure. Throughout the years, our friend group has become a safe space for us to discuss anything and uplift each other. At Brown, I want to bring that soundtrack energy into groups like SASA and Barsaat - helping organize cultural nights and playlist exchanges - and start “song & study” dorm sessions. I also see myself joining the PMHA program to offer the same emotional support I’ve relied on - creating trust-filled spaces in the BCSC or other student‑life hubs where we can share our emotions, fears, and aspirations.",Cultural Identity and Personal Growth
Brown,Why Brown One Sentence,"In one sentence, why Brown? (50 word limit)*",Brown’s culture is at the intersection of learning and care: Midnight Breakfast where students get late-night studying snack and Brown Venture Prize funding that would let me grow NNANO from a testable prototype to an implementable solution;,Healthcare and Community Service
